call_id,Customer  Id,Call Type,Date Created Local,Created At Local,Call Started Local,Scheduled Start Date Local,Scheduled Start Time Local,Scheduled End Time Local,Status,Booking Title,Booked By Staff Id,Staff First Joined Activity Timestamps Local,Staff Joined Activities Timestamps Local,Staff Joined Count,Staff Left Activities Timestamps UTC,Customer Joined Count,Customer Joined Activities Timestamps UTC,Customer Left Activities Timestamps UTC,Customer Enabled Video,Call Result,Call Duration (Sec),Staff Score,Avg Customer Rating (Overall),"Rating Question ""How Was The Stream Quality""","Rating Question ""Did you find your rep helpful?""","Rating Question ""How likely are you to use this service again""?",purchase_made_after_call,purchase_value_usd,timestamp of checkout,days_between_call_and_purchase
9647059,6vzngogp-dd3d-yllc-3zsc-gb3wui8cnsfo,BOOKING,06/04/2021,06/04/2021 16:53,07/04/2021 17:14,07/04/2021,07/04/2021 17:00,07/04/2021 17:10,ENDED,Live expert booking - All Goods,22017,07/04/2021 16:58,07/04/2021 16:58,1,07/04/2021 17:32,2,"2021-04-07 17:01:10, 2021-04-07 17:13:54",,1,Booking - Successful call,2427,4,5,5,5,5,YES,2045.6,08/04/2021 07:52,1
9483357,ir0os90o-16a5-pwzo-6d2m-a90sidd3ybxr,BOOKING,30/03/2021,30/03/2021 16:22,31/03/2021 17:31,31/03/2021,31/03/2021 17:30,31/03/2021 17:45,ENDED,Live expert booking - All Goods,21556,31/03/2021 17:27,31/03/2021 17:27,1,31/03/2021 17:46,1,31/03/2021 17:31,,1,Booking - Successful call,940,4,5,5,5,5,YES,879.2,06/04/2021 16:50,6
9598546,mw198aip-nec0-jail-lm2e-ik95jb4eq90w,BOOKING,04/04/2021,04/04/2021 19:34,06/04/2021 10:15,06/04/2021,06/04/2021 10:15,06/04/2021 10:25,ENDED,Live expert booking - All Goods,22851,06/04/2021 10:11,"2021-04-06 10:11:02, 2021-04-06 10:15:25, 2021-04-06 10:19:36",3,"2021-04-06 10:15:04, 2021-04-06 10:19:28, 2021-04-06 10:19:52",1,06/04/2021 10:15,,1,Booking - Successful call,219,3,5,5,5,5,YES,804.8,06/04/2021 09:24,0
9483357,ir0os90o-16a5-pwzo-6d2m-a90sidd3ybxr,BOOKING,30/03/2021,30/03/2021 16:22,31/03/2021 17:31,31/03/2021,31/03/2021 17:30,31/03/2021 17:45,ENDED,Live expert booking - All Goods,21556,31/03/2021 17:27,31/03/2021 17:27,1,31/03/2021 17:46,1,31/03/2021 17:31,,1,Booking - Successful call,940,4,5,5,5,5,YES,118.5,01/04/2021 18:48,1
8217815,bzx3gknc-oimd-zj69-cb5t-6sp53uosgevo,BOOKING,18/02/2021,18/02/2021 10:19,19/02/2021 11:13,19/02/2021,19/02/2021 11:15,19/02/2021 11:25,ENDED,Live expert booking - All Goods,21998,19/02/2021 11:10,19/02/2021 11:10,1,19/02/2021 11:28,1,19/02/2021 11:13,19/02/2021 11:28,1,Booking - Successful call,915,4,,,,,YES,28,15/03/2021 10:21,24
8607980,0xwbm7jy-4nds-soc9-02cs-2ik4vv7s6i2a,BOOKING,01/03/2021,01/03/2021 23:02,03/03/2021 13:15,03/03/2021,03/03/2021 13:15,03/03/2021 13:25,ENDED,Live expert booking - All Goods,21555,03/03/2021 13:15,03/03/2021 13:15,1,03/03/2021 13:27,1,03/03/2021 13:14,03/03/2021 13:27,0,Booking - Successful call,722,,,,,,YES,30,12/03/2021 12:03,9
8217815,bzx3gknc-oimd-zj69-cb5t-6sp53uosgevo,BOOKING,18/02/2021,18/02/2021 10:19,19/02/2021 11:13,19/02/2021,19/02/2021 11:15,19/02/2021 11:25,ENDED,Live expert booking - All Goods,21998,19/02/2021 11:10,19/02/2021 11:10,1,19/02/2021 11:28,1,19/02/2021 11:13,19/02/2021 11:28,1,Booking - Successful call,915,4,,,,,YES,75,07/03/2021 10:03,16
8607980,0xwbm7jy-4nds-soc9-02cs-2ik4vv7s6i2a,BOOKING,01/03/2021,01/03/2021 23:02,03/03/2021 13:15,03/03/2021,03/03/2021 13:15,03/03/2021 13:25,ENDED,Live expert booking - All Goods,21555,03/03/2021 13:15,03/03/2021 13:15,1,03/03/2021 13:27,1,03/03/2021 13:14,03/03/2021 13:27,0,Booking - Successful call,722,,,,,,YES,91,04/03/2021 18:55,1
8471177,89uqfgld-tpn0-taaz-1hhi-ioagksa2wm6x,BOOKING,25/02/2021,25/02/2021 15:53,26/02/2021 16:02,26/02/2021,26/02/2021 16:00,26/02/2021 16:10,ENDED,Live expert booking - All Goods,21998,26/02/2021 15:53,"2021-02-26 15:53:22, 2021-02-26 15:57:56",2,"2021-02-26 15:57:46, 2021-02-26 16:05:51",1,26/02/2021 16:02,,0,Booking - Successful call,199,3,,,,,YES,18,03/03/2021 21:39,5
8217815,bzx3gknc-oimd-zj69-cb5t-6sp53uosgevo,BOOKING,18/02/2021,18/02/2021 10:19,19/02/2021 11:13,19/02/2021,19/02/2021 11:15,19/02/2021 11:25,ENDED,Live expert booking - All Goods,21998,19/02/2021 11:10,19/02/2021 11:10,1,19/02/2021 11:28,1,19/02/2021 11:13,19/02/2021 11:28,1,Booking - Successful call,915,4,,,,,YES,75,01/03/2021 21:17,10
8275537,gqqg6d5q-2tvf-ogd5-rtpt-t993flba5bfs,BOOKING,19/02/2021,19/02/2021 16:01,20/02/2021 16:04,20/02/2021,20/02/2021 16:00,20/02/2021 16:10,ENDED,Live expert booking - All Goods,22017,20/02/2021 16:04,20/02/2021 16:04,1,20/02/2021 16:08,1,20/02/2021 16:00,20/02/2021 16:08,1,Booking - Successful call,243,,,,,,YES,1199.2,20/02/2021 21:55,0
8217815,bzx3gknc-oimd-zj69-cb5t-6sp53uosgevo,BOOKING,18/02/2021,18/02/2021 10:19,19/02/2021 11:13,19/02/2021,19/02/2021 11:15,19/02/2021 11:25,ENDED,Live expert booking - All Goods,21998,19/02/2021 11:10,19/02/2021 11:10,1,19/02/2021 11:28,1,19/02/2021 11:13,19/02/2021 11:28,1,Booking - Successful call,915,4,,,,,YES,75,20/02/2021 14:57,1
8217815,bzx3gknc-oimd-zj69-cb5t-6sp53uosgevo,BOOKING,18/02/2021,18/02/2021 10:19,19/02/2021 11:13,19/02/2021,19/02/2021 11:15,19/02/2021 11:25,ENDED,Live expert booking - All Goods,21998,19/02/2021 11:10,19/02/2021 11:10,1,19/02/2021 11:28,1,19/02/2021 11:13,19/02/2021 11:28,1,Booking - Successful call,915,4,,,,,YES,58,19/02/2021 21:57,0
11135684,48a85x9m-f8vd-eq13-ap0e-h0zeypv4uz5j,BOOKING,27/06/2021,27/06/2021 14:51,28/06/2021 18:33,28/06/2021,28/06/2021 18:30,28/06/2021 18:40,ENDED,Live expert booking - All Goods,22613,28/06/2021 18:27,"2021-06-28 18:27:46, 2021-06-28 18:30:40, 2021-06-28 18:33:37",3,"2021-06-28 18:30:35, 2021-06-28 18:33:34, 2021-06-28 18:40:40",1,28/06/2021 18:33,,0,Booking - Successful call,404,4,,,,,YES,513.2,30/06/2021 13:52,2
11025440,mcqn9ve8-xcu0-hqgq-0x1g-uo3y7vvt7qkm,BOOKING,20/06/2021,20/06/2021 15:23,21/06/2021 18:28,21/06/2021,21/06/2021 18:30,21/06/2021 18:40,ENDED,Live expert booking - All Goods,22613,21/06/2021 18:27,21/06/2021 18:27,1,21/06/2021 18:37,1,21/06/2021 18:28,,1,Booking - Successful call,517,2,3,2,4,3,YES,300,27/06/2021 10:24,6
10820889,2gtbuihj-h7xi-ds6t-c7ew-qzk52eq0178p,BOOKING,07/06/2021,07/06/2021 10:07,08/06/2021 12:14,08/06/2021,08/06/2021 12:15,08/06/2021 12:25,ENDED,Live expert booking - All Goods,21998,08/06/2021 12:14,08/06/2021 12:14,1,08/06/2021 12:22,2,"2021-06-07 12:22:29, 2021-06-08 12:14:43",,0,Booking - Successful call,460,3,,,,,YES,699,13/06/2021 10:22,6
10816656,3amn2i2x-nxf9-uosm-74ua-t3e4dl1rvq90,BOOKING,06/06/2021,06/06/2021 18:24,07/06/2021 18:30,07/06/2021,07/06/2021 18:30,07/06/2021 18:40,ENDED,Live expert booking - All Goods,22613,07/06/2021 18:28,07/06/2021 18:28,1,07/06/2021 18:34,1,07/06/2021 18:30,,1,Booking - Successful call,275,4,5,5,5,5,YES,229,07/06/2021 20:45,0
10312406,2dpcxgy6-9s2m-mwkh-l5l2-jeqnn96yu7h1,BOOKING,07/05/2021,07/05/2021 14:08,10/05/2021 11:07,10/05/2021,10/05/2021 11:00,10/05/2021 11:10,ENDED,Live expert booking - All Goods,22851,10/05/2021 11:19,10/05/2021 11:19,1,10/05/2021 11:28,3,"2021-05-10 10:59:33, 2021-05-10 11:06:56, 2021-05-10 11:08:18","2021-05-10 11:07:16, 2021-05-10 11:09:17",1,Booking - Successful call,13,3,1,1,1,1,YES,95.5,03/06/2021 15:06,24
10718513,xsrxpsbo-te95-m2sg-naba-4nykrbkcx238,BOOKING,31/05/2021,31/05/2021 08:30,01/06/2021 12:00,01/06/2021,01/06/2021 12:00,01/06/2021 12:20,ENDED,Live expert booking - All Goods,22017,01/06/2021 12:00,01/06/2021 12:00,1,01/06/2021 12:17,1,01/06/2021 12:00,,1,Booking - Successful call,1048,3,,,,,YES,2076.4,01/06/2021 20:05,0
10715090,53w5apa7-nxia-emt1-ftij-cxvc8fsci0af,BOOKING,30/05/2021,30/05/2021 18:13,31/05/2021 18:15,31/05/2021,31/05/2021 18:15,31/05/2021 18:25,ENDED,Live expert booking - All Goods,22613,31/05/2021 18:14,31/05/2021 18:14,1,31/05/2021 18:24,1,31/05/2021 18:15,,1,Booking - Successful call,560,3,,,,,YES,860.36,31/05/2021 17:29,0
10698693,wewxn9x0-omfx-mg3y-axhu-5qzu4cvyrpvh,BOOKING,29/05/2021,29/05/2021 12:19,30/05/2021 15:00,30/05/2021,30/05/2021 15:00,30/05/2021 15:10,ENDED,Live expert booking - All Goods,21998,30/05/2021 14:55,"2021-05-30 14:55:43, 2021-05-30 15:12:16",2,"2021-05-30 15:11:39, 2021-05-30 15:16:19",2,"2021-05-30 15:00:48, 2021-05-30 15:13:29",,1,Booking - Successful call,923,3,,,,,YES,958.7,30/05/2021 14:32,0
10671497,xl7y5tj0-ehrq-tak6-emz5-8ux7ny1l4xmh,BOOKING,27/05/2021,27/05/2021 16:33,28/05/2021 16:45,28/05/2021,28/05/2021 16:45,28/05/2021 16:55,ENDED,Live expert booking - All Goods,21998,28/05/2021 16:35,28/05/2021 16:35,1,28/05/2021 16:56,1,28/05/2021 16:45,28/05/2021 16:56,1,Booking - Successful call,673,3,5,5,5,5,YES,879.3,28/05/2021 16:58,0
10339559,y9bgt6q8-h2xg-78u6-l4w4-2rog5v9iot13,BOOKING,08/05/2021,08/05/2021 17:41,09/05/2021 17:44,09/05/2021,09/05/2021 17:45,09/05/2021 17:55,ENDED,Live expert booking - All Goods,22613,09/05/2021 17:44,09/05/2021 17:44,1,09/05/2021 17:55,1,09/05/2021 17:44,09/05/2021 17:55,0,Booking - Successful call,660,3,5,5,5,5,YES,169,28/05/2021 10:54,19
10312406,2dpcxgy6-9s2m-mwkh-l5l2-jeqnn96yu7h1,BOOKING,07/05/2021,07/05/2021 14:08,10/05/2021 11:07,10/05/2021,10/05/2021 11:00,10/05/2021 11:10,ENDED,Live expert booking - All Goods,22851,10/05/2021 11:19,10/05/2021 11:19,1,10/05/2021 11:28,3,"2021-05-10 10:59:33, 2021-05-10 11:06:56, 2021-05-10 11:08:18","2021-05-10 11:07:16, 2021-05-10 11:09:17",1,Booking - Successful call,13,3,1,1,1,1,YES,1278.4,26/05/2021 16:46,16
10437729,yesm0o29-vzx5-gvoy-aplh-xqikq7d27w6y,BOOKING,13/05/2021,13/05/2021 21:09,15/05/2021 13:18,15/05/2021,15/05/2021 13:15,15/05/2021 13:25,ENDED,Live expert booking - All Goods,21998,15/05/2021 13:09,15/05/2021 13:09,1,15/05/2021 13:25,1,15/05/2021 13:18,,1,Booking - Successful call,454,3,,,,,YES,25,25/05/2021 19:54,10
10505579,ihxt3z3y-vbhk-xoi6-trc0-lajprsojncq4,BOOKING,17/05/2021,17/05/2021 18:12,18/05/2021 18:15,18/05/2021,18/05/2021 18:15,18/05/2021 18:25,ENDED,Live expert booking - All Goods,22017,18/05/2021 18:12,"2021-05-18 18:12:03, 2021-05-18 18:15:27",2,"2021-05-18 18:15:16, 2021-05-18 18:32:11",1,18/05/2021 18:15,,1,Booking - Successful call,995,3,,,,,YES,2298,18/05/2021 18:07,0
9925726,nwtv8zff-8odm-5o3l-ayqa-oo8grz5nas9u,BOOKING,18/04/2021,18/04/2021 14:31,19/04/2021 15:02,19/04/2021,19/04/2021 15:00,19/04/2021 15:10,ENDED,Live expert booking - All Goods,21998,19/04/2021 15:02,19/04/2021 15:02,1,19/04/2021 15:15,2,"2021-04-19 14:58:50, 2021-04-19 15:11:57",,1,Booking - Successful call,775,3,,,,,YES,42,14/05/2021 17:47,25
9874522,vxdumxce-51w5-m9vt-x2pp-wnqf59utyipq,BOOKING,15/04/2021,15/04/2021 18:45,16/04/2021 18:44,16/04/2021,16/04/2021 18:45,16/04/2021 18:55,ENDED,Live expert booking - All Goods,22017,16/04/2021 18:44,16/04/2021 18:44,1,16/04/2021 18:59,1,16/04/2021 18:43,,1,Booking - Successful call,880,3,,,,,YES,27,12/05/2021 08:27,26
10200341,gmzrmxth-jxqq-1y0y-v8dd-bx7f47v4esq0,BOOKING,02/05/2021,02/05/2021 07:50,03/05/2021 11:18,03/05/2021,03/05/2021 11:15,03/05/2021 11:25,ENDED,Live expert booking - All Goods,22851,03/05/2021 11:03,03/05/2021 11:03,1,03/05/2021 11:24,3,"2021-05-03 11:15:19, 2021-05-03 11:16:34, 2021-05-03 11:18:34",03/05/2021 11:17,1,Booking - Successful call,0,1,,,,,YES,162,11/05/2021 05:40,8
10184479,1dnqjrun-k0tu-42vk-azz7-0sjm7rt3hpxx,BOOKING,01/05/2021,01/05/2021 08:00,02/05/2021 13:57,02/05/2021,02/05/2021 14:00,02/05/2021 14:10,ENDED,Live expert booking - All Goods,21998,02/05/2021 13:56,02/05/2021 13:56,1,02/05/2021 14:00,1,02/05/2021 13:57,,1,Booking - Successful call,196,3,4.33,5,3,5,YES,199,05/05/2021 11:59,3
10184479,1dnqjrun-k0tu-42vk-azz7-0sjm7rt3hpxx,BOOKING,01/05/2021,01/05/2021 08:00,02/05/2021 13:57,02/05/2021,02/05/2021 14:00,02/05/2021 14:10,ENDED,Live expert booking - All Goods,21998,02/05/2021 13:56,02/05/2021 13:56,1,02/05/2021 14:00,1,02/05/2021 13:57,,1,Booking - Successful call,196,3,4.33,5,3,5,YES,199,05/05/2021 11:53,3
10055217,791sjj9j-wxm8-0e1r-wqop-6qjirzj9pdpd,BOOKING,24/04/2021,24/04/2021 22:05,26/04/2021 17:00,26/04/2021,26/04/2021 17:00,26/04/2021 17:10,ENDED,Live expert booking - All Goods,21998,26/04/2021 16:57,"2021-04-26 16:57:40, 2021-04-26 16:58:02",2,"2021-04-26 16:57:54, 2021-04-26 17:14:22",1,26/04/2021 17:00,,1,Booking - Successful call,807,3,,,,,YES,474.1,04/05/2021 16:48,8
10081836,8h6hsc78-qlr4-w1mw-cpa9-7is9efqd0hzx,BOOKING,26/04/2021,26/04/2021 15:10,28/04/2021 10:16,28/04/2021,28/04/2021 10:15,28/04/2021 10:25,ENDED,Live expert booking - All Goods,22853,28/04/2021 10:13,"2021-04-28 10:13:32, 2021-04-28 10:16:17",2,"2021-04-28 10:16:12, 2021-04-28 10:21:36",2,"2021-04-28 10:15:50, 2021-04-28 10:16:28",,1,Booking - Successful call,292,3,,,,,YES,899,04/05/2021 14:04,6
9875780,4gdlzrwr-3zrd-cond-ezqn-m1k3ogoczcch,BOOKING,15/04/2021,15/04/2021 19:56,17/04/2021 11:30,17/04/2021,17/04/2021 11:30,17/04/2021 11:40,ENDED,Live expert booking - All Goods,21555,17/04/2021 11:30,17/04/2021 11:30,1,17/04/2021 11:34,1,17/04/2021 11:30,,1,Booking - Successful call,264,,5,5,5,5,YES,46.5,04/05/2021 10:29,17
10206875,tfwy4hwb-fl97-hb8t-gpiz-zn1admx6abi9,BOOKING,02/05/2021,02/05/2021 14:48,03/05/2021 15:00,03/05/2021,03/05/2021 15:00,03/05/2021 15:10,ENDED,Live expert booking - All Goods,21998,03/05/2021 14:55,03/05/2021 14:55,1,03/05/2021 15:03,1,03/05/2021 15:00,03/05/2021 15:03,1,Booking - Successful call,179,4,,,,,YES,1999,03/05/2021 14:10,0
9936771,xazgot9l-43y1-ceqy-eqxa-yflts29fhwb4,BOOKING,19/04/2021,19/04/2021 10:42,20/04/2021 10:46,20/04/2021,20/04/2021 10:45,20/04/2021 11:15,ENDED,Live expert booking - All Goods,21557,20/04/2021 10:45,20/04/2021 10:45,1,20/04/2021 10:56,1,20/04/2021 10:45,,0,Booking - Successful call,636,4,,,,,YES,2637.6,20/04/2021 15:44,0
9926338,wwzra21l-g5yh-82mj-jqxe-9wpzc3lcilwu,BOOKING,18/04/2021,18/04/2021 14:59,19/04/2021 14:59,19/04/2021,19/04/2021 15:00,19/04/2021 15:10,ENDED,Live expert booking - All Goods,22858,19/04/2021 14:34,"2021-04-19 14:34:29, 2021-04-19 14:59:46",2,"2021-04-19 14:34:35, 2021-04-19 15:01:55",1,19/04/2021 14:58,,1,Booking - Successful call,128,4,,,,,YES,718.2,19/04/2021 15:37,0
9926338,wwzra21l-g5yh-82mj-jqxe-9wpzc3lcilwu,BOOKING,18/04/2021,18/04/2021 14:59,19/04/2021 14:59,19/04/2021,19/04/2021 15:00,19/04/2021 15:10,ENDED,Live expert booking - All Goods,22858,19/04/2021 14:34,"2021-04-19 14:34:29, 2021-04-19 14:59:46",2,"2021-04-19 14:34:35, 2021-04-19 15:01:55",1,19/04/2021 14:58,,1,Booking - Successful call,128,4,,,,,YES,718.2,19/04/2021 15:39,0
9723186,x49hlgte-xo06-z914-5698-mpdy95p9zb7x,BOOKING,09/04/2021,09/04/2021 12:35,10/04/2021 12:48,10/04/2021,10/04/2021 12:45,10/04/2021 13:15,ENDED,Live expert booking - All Goods,22337,10/04/2021 12:48,10/04/2021 12:48,1,10/04/2021 13:10,2,"2021-04-10 12:47:02, 2021-04-10 12:47:58",10/04/2021 13:10,0,Booking - Successful call,0,3,,,,,YES,1758.4,19/04/2021 15:25,9
9723186,x49hlgte-xo06-z914-5698-mpdy95p9zb7x,BOOKING,09/04/2021,09/04/2021 12:35,10/04/2021 12:48,10/04/2021,10/04/2021 12:45,10/04/2021 13:15,ENDED,Live expert booking - All Goods,22337,10/04/2021 12:48,10/04/2021 12:48,1,10/04/2021 13:10,2,"2021-04-10 12:47:02, 2021-04-10 12:47:58",10/04/2021 13:10,0,Booking - Successful call,0,3,,,,,YES,1758.4,19/04/2021 15:17,9
9909310,n2hif803-vzie-ajzy-re47-plgy9k7aoz0b,BOOKING,17/04/2021,17/04/2021 13:50,19/04/2021 10:44,19/04/2021,19/04/2021 10:45,19/04/2021 10:55,ENDED,Live expert booking - All Goods,22851,19/04/2021 10:41,19/04/2021 10:41,1,19/04/2021 10:55,1,19/04/2021 10:44,19/04/2021 10:55,1,Booking - Successful call,642,3,5,5,5,5,YES,216.5,19/04/2021 10:48,0
9897205,mgltniej-tg51-l5d5-mf9i-sa4fx70dzfpg,BOOKING,16/04/2021,16/04/2021 19:13,18/04/2021 13:02,18/04/2021,18/04/2021 13:00,18/04/2021 13:10,ENDED,Live expert booking - All Goods,21555,18/04/2021 13:00,"2021-04-18 13:00:52, 2021-04-18 13:01:53",2,"2021-04-18 13:01:49, 2021-04-18 13:04:49",1,18/04/2021 13:01,,1,Booking - Successful call,178,,4,3,4,5,YES,328,19/04/2021 09:31,1
9874522,vxdumxce-51w5-m9vt-x2pp-wnqf59utyipq,BOOKING,15/04/2021,15/04/2021 18:45,16/04/2021 18:44,16/04/2021,16/04/2021 18:45,16/04/2021 18:55,ENDED,Live expert booking - All Goods,22017,16/04/2021 18:44,16/04/2021 18:44,1,16/04/2021 18:59,1,16/04/2021 18:43,,1,Booking - Successful call,880,3,,,,,YES,716.4,17/04/2021 10:48,1
9861360,eth1yqu7-zn98-767w-k5kf-hfxip1kdlw7g,BOOKING,15/04/2021,15/04/2021 11:29,16/04/2021 11:47,16/04/2021,16/04/2021 11:30,16/04/2021 11:40,ENDED,Live expert booking - All Goods,21557,16/04/2021 11:47,16/04/2021 11:47,1,16/04/2021 12:07,4,"2021-04-16 11:30:01, 2021-04-16 11:32:01, 2021-04-16 11:35:15, 2021-04-16 11:35:41",16/04/2021 12:07,1,Booking - Successful call,1217,4,,,,,YES,1519.2,16/04/2021 19:44,0
9621656,k7zyi8bk-iq5x-q07w-2tch-yy2ebazupruw,BOOKING,05/04/2021,05/04/2021 20:01,07/04/2021 18:28,07/04/2021,07/04/2021 18:30,07/04/2021 18:40,ENDED,Live expert booking - All Goods,22017,07/04/2021 18:28,07/04/2021 18:28,1,07/04/2021 18:43,1,07/04/2021 18:28,,0,Booking - Successful call,856,3,,,,,YES,957.6,13/04/2021 18:32,6
9637098,esm5pnhz-g7ej-wcb7-ahoq-rtlxv0icqede,BOOKING,06/04/2021,06/04/2021 13:50,07/04/2021 18:45,07/04/2021,07/04/2021 18:45,07/04/2021 18:55,ENDED,Live expert booking - All Goods,22337,07/04/2021 18:44,07/04/2021 18:44,1,07/04/2021 18:57,1,07/04/2021 18:45,,1,Booking - Successful call,753,3,,,,,YES,805.6,13/04/2021 08:30,6
9236352,m8ava1qo-ulo0-5wa3-7xrl-9ahnbhr823qr,BOOKING,22/03/2021,22/03/2021 14:35,23/03/2021 14:42,23/03/2021,23/03/2021 14:45,23/03/2021 15:15,ENDED,Live expert booking - All Goods,21998,23/03/2021 14:38,"2021-03-23 14:38:32, 2021-03-23 14:40:12",2,"2021-03-23 14:38:41, 2021-03-23 14:57:31",1,23/03/2021 14:42,,1,Booking - Successful call,891,4,,,,,YES,114,08/04/2021 11:29,16
8924853,hivu6q4o-vdlz-6ej8-ut9c-wrwfrmov330h,BOOKING,10/03/2021,10/03/2021 20:41,13/03/2021 19:47,13/03/2021,13/03/2021 19:45,13/03/2021 19:55,ENDED,Live expert booking - All Goods,22017,13/03/2021 19:46,13/03/2021 19:46,1,13/03/2021 20:18,2,"2021-03-13 19:44:35, 2021-03-13 19:47:27",13/03/2021 19:49,1,Booking - Successful call,1874,3,5,5,5,5,YES,1039.2,04/04/2021 16:01,22
